skill_id,skill_name,domain,parent_skill,level,description
S001,algorithms,General,data structures,Intermediate,Knowledge or competency in algorithms
S002,api design,Programming,backend development,Intermediate,Knowledge or competency in api design
S003,application development,General,,Intermediate,Knowledge or competency in application development
S004,authentication,General,,Intermediate,Knowledge or competency in authentication
S005,automated planning heuristics,General,,Intermediate,Knowledge or competency in automated planning heuristics
S006,automated planning problem definition,General,,Intermediate,Knowledge or competency in automated planning problem definition
S007,backend development,Programming,programming fundamentals,Intermediate,Knowledge or competency in backend development
S008,bayesian networks,General,,Intermediate,Knowledge or competency in bayesian networks
S009,behavioral interview,General,,Intermediate,Knowledge or competency in behavioral interview
S010,brand management,General,,Intermediate,Knowledge or competency in brand management
S011,buffer overflow,General,,Intermediate,Knowledge or competency in buffer overflow
S012,cascading style sheets (css),Programming,,Intermediate,Knowledge or competency in cascading style sheets (css)
S013,ci cd,DevOps,version control,Intermediate,Knowledge or competency in ci cd
S014,clinical research,General,,Intermediate,Knowledge or competency in clinical research
S015,cloud computing,DevOps,,Intermediate,Knowledge or competency in cloud computing
S016,cloud fundamentals,DevOps,,Beginner,Knowledge or competency in cloud fundamentals
S017,cloud native,DevOps,,Intermediate,Knowledge or competency in cloud native
S018,cloud storage,DevOps,,Intermediate,Knowledge or competency in cloud storage
S019,coding,General,,Intermediate,Knowledge or competency in coding
S020,communication,General,,Intermediate,Knowledge or competency in communication
S021,concatenation,General,,Intermediate,Knowledge or competency in concatenation
S022,consolization,General,,Intermediate,Knowledge or competency in consolization
S023,constraint propagation,General,,Intermediate,Knowledge or competency in constraint propagation
S024,constraint satisfaction problems,General,,Intermediate,Knowledge or competency in constraint satisfaction problems
S025,containerization,DevOps,linux,Intermediate,Knowledge or competency in containerization
S026,creativity,General,,Intermediate,Knowledge or competency in creativity
S027,crisp-dm,General,,Intermediate,Knowledge or competency in crisp-dm
S028,cryptography,General,,Intermediate,Knowledge or competency in cryptography
S029,cybersecurity,General,,Intermediate,Knowledge or competency in cybersecurity
S030,data analysis,Data Science,,Intermediate,Knowledge or competency in data analysis
S031,data analysis interview,Data Science,,Intermediate,Knowledge or competency in data analysis interview
S032,data architecture,Data Science,,Intermediate,Knowledge or competency in data architecture
S033,data management,Data Science,,Intermediate,Knowledge or competency in data management
S034,data mining,Data Science,,Intermediate,Knowledge or competency in data mining
S035,data preparation,Data Science,,Intermediate,Knowledge or competency in data preparation
S036,data science,Data Science,,Intermediate,Knowledge or competency in data science
S037,data science methodology,Data Science,,Intermediate,Knowledge or competency in data science methodology
S038,data structure,Data Science,,Intermediate,Knowledge or competency in data structure
S039,data structures,Data Science,,Intermediate,Knowledge or competency in data structures
S040,data visualization,Data Science,data analysis,Intermediate,Knowledge or competency in data visualization
S041,data visualization (dataviz),Data Science,,Intermediate,Knowledge or competency in data visualization (dataviz)
S042,databases,Data Science,,Intermediate,Knowledge or competency in databases
S043,debugging,General,,Intermediate,Knowledge or competency in debugging
S044,deep learning,Machine Learning,machine learning basics,Advanced,Knowledge or competency in deep learning
S045,design thinking,General,,Intermediate,Knowledge or competency in design thinking
S046,devops,DevOps,,Intermediate,Knowledge or competency in devops
S047,digital marketing,General,,Intermediate,Knowledge or competency in digital marketing
S048,emotional engagement,General,,Intermediate,Knowledge or competency in emotional engagement
